context,question,answer,source,type
"Điều 62 Luật Trật tự, an toàn giao thông đường bộ không có giá trị sử dụng, cơ quan quản lý giấy phép lái xe cập nhật dữ liệu về hành vi vi phạm trên hệ thống thông tin giấy phép lái xe tại Cục Cảnh sát giao thông kể từ ngày phát hiện hành vi vi phạm; ngoài ra, người có hành vi vi phạm không được cấp giấy phép lái xe trong thời hạn 05 năm, kể từ ngày phát hiện hành vi vi phạm; sau thời hạn 05 năm, kể từ ngày phát hiện hành vi vi phạm nếu có nhu cầu cấp lại giấy phép lái xe phải học và sát hạch lại như trường hợp cấp giấy phép lái xe lần đầu.
CẤP, SỬ DỤNG GIẤY PHÉP LÁI XE QUỐC TẾ",Nếu người có hành vi vi phạm không được cấp giấy phép lái xe thì thời hạn không được cấp là bao lâu?,"05 năm, kể từ ngày phát hiện hành vi vi phạm",TT 12/2024/TT-BGTVT,condition
"Điều 42. Thẩm quyền xử phạt của Chủ tịch Ủy ban nhân dân các cấp
1. Chủ tịch Ủy ban nhân dân cấp xã có quyền:
a) Phạt cảnh cáo;
b) Phạt tiền đến 5.000.000 đồng;
c) Tịch thu tang vật, phương tiện được sử dụng để vi phạm hành chính có giá trị không vượt quá 10.000.000 đồng;
d) Áp dụng biện pháp khắc phục hậu quả quy định tại các điểm a, điểm b khoản 3",Chủ tịch Ủy ban nhân dân cấp xã có những quyền gì trong việc xử phạt?,"Phạt cảnh cáo; Phạt tiền đến 5.000.000 đồng; Tịch thu tang vật, phương tiện được sử dụng để vi phạm hành chính có giá trị không vượt quá 10.000.000 đồng; Áp dụng biện pháp khắc phục hậu quả",NĐ 168/2024/NĐ-CP,synthesis
"2. Phương tiện, thiết bị phục vụ quản lý, vận hành, khai thác công trình đường bộ bao gồm:
a) Thiết bị lắp đặt vào các công trình, bộ phận công trình quy định tại điểm e khoản 1 Điều này;
b) Phương tiện, thiết bị phục vụ công tác phòng, chống, khắc phục hậu quả thiên tai và tìm kiếm cứu nạn đường bộ; phương tiện, thiết bị phục vụ cứu nạn, cứu hộ giao thông đường bộ;
c) Phà, phương tiện, thiết bị khác phục vụ quản lý, vận hành, khai thác bến phà đường bộ;
d) Phương tiện, thiết bị khác phục vụ quản lý, vận hành, khai thác đường bộ.","Phương tiện, thiết bị phục vụ quản lý, vận hành, khai thác công trình đường bộ gồm những gì?","Phương tiện, thiết bị phục vụ quản lý, vận hành, khai thác công trình đường bộ bao gồm thiết bị lắp đặt vào các công trình, phương tiện phục vụ công tác phòng chống thiên tai, phương tiện cứu nạn, cứu hộ, phà và phương tiện khác phục vụ quản lý đường bộ.",Luật-35-2024-QH15,direct
"2. Cục Cảnh sát giao thông
a) Tiếp nhận dữ liệu IDP đã được Phòng Cảnh sát giao thông đồng bộ vào hệ thống thông tin giấy phép lái xe tại Cục Cảnh sát giao thông để tổ chức quản lý và sử dụng dữ liệu theo quy định;
b) Trường hợp tiếp nhận hồ sơ đề nghị cấp IDP của cá nhân thì thực hiện như quy trình tại khoản 1 Điều này.
TỔ CHỨC THỰC HIỆN",Nếu cá nhân đề nghị cấp IDP thì Cục Cảnh sát giao thông thực hiện như thế nào?,Thực hiện như quy trình tại khoản 1 Điều này.,TT 12/2024/TT-BGTVT,condition
"2. Hồ sơ bao gồm:
a) Đề nghị đổi giấy phép lái xe theo mẫu quy định tại Phụ lục XII ban hành kèm theo Thông tư này;
b) Bản sao giấy tờ chứng minh thôi không còn phục vụ trong lực lượng Quân đội nhân dân;
c) Giấy khám sức khỏe của người lái xe do cơ sở khám bệnh, chữa bệnh đủ tiêu chuẩn theo quy định của pháp luật về khám bệnh, chữa bệnh cấp còn hiệu lực;
d) Bản sao hoặc bản sao điện tử được chứng thực từ bản chính hoặc bản sao điện tử được cấp từ sổ gốc của giấy phép lái xe quân sự còn thời hạn sử dụng.",Nếu giấy phép lái xe quân sự còn thời hạn sử dụng thì cần giấy tờ gì để đổi giấy phép lái xe?,Bản sao hoặc bản sao điện tử được chứng thực từ bản chính hoặc bản sao điện tử được cấp từ sổ gốc của giấy phép lái xe quân sự còn thời hạn sử dụng,TT 12/2024/TT-BGTVT,condition
1. Trong trường hợp chủ phương tiện vi phạm có mặt tại nơi xảy ra vi phạm thì người có thẩm quyền căn cứ vào hành vi vi phạm để lập biên bản vi phạm hành chính và tiến hành xử phạt theo quy định của pháp luật.,Nếu chủ phương tiện vi phạm có mặt tại nơi xảy ra vi phạm thì người có thẩm quyền sẽ làm gì?,Lập biên bản vi phạm hành chính và tiến hành xử phạt theo quy định của pháp luật.,NĐ 168/2024/NĐ-CP,condition
"8. Bộ trưởng Bộ Giao thông vận tải quy định hình thức, nội dung, chương trình đào tạo lái xe, thời gian lái xe an toàn cho từng hạng giấy phép lái xe quy định tại khoản 4 Điều này và quy định tiêu chuẩn của cơ sở đào tạo lái xe mô tô; đối với cơ sở đào tạo, tổ chức đào tạo lái xe cho lực lượng quân đội, công an làm nhiệm vụ quốc phòng, an ninh do Bộ trưởng Bộ Quốc phòng, Bộ trưởng Bộ Công an quy định.","Ai quy định tiêu chuẩn của cơ sở đào tạo lái xe mô tô cho lực lượng quân đội, công an?","Bộ trưởng Bộ Quốc phòng, Bộ trưởng Bộ Công an",luat trật tự,direct
"Điều 40. Giao thông thông minh
1. Giao thông thông minh là việc ứng dụng các công nghệ điện tử, thông tin, truyền thông, khoa học quản lý mới, hiện đại nhằm tối ưu hiệu suất quản lý, khai thác kết cấu hạ tầng đường bộ; bảo đảm giao thông thông suốt, an toàn, hiệu quả, kịp thời, tiện lợi và thân thiện với môi trường.","Nếu ứng dụng công nghệ điện tử, thông tin, truyền thông trong quản lý giao thông thì mục tiêu đạt được là gì?","Tối ưu hiệu suất quản lý, bảo đảm giao thông thông suốt, an toàn, hiệu quả, kịp thời, tiện lợi và thân thiện với môi trường.",Luật-35-2024-QH15,condition
"13. Thiết bị an toàn cho trẻ em là thiết bị có đủ khả năng bảo đảm an toàn cho trẻ em ở tư thế ngồi hoặc nằm trên xe ô tô, được thiết kế để giảm nguy cơ chấn thương cho người dùng trong trường hợp xảy ra va chạm hoặc xe ô tô giảm tốc độ đột ngột, bằng cách hạn chế sự di chuyển của cơ thể trẻ em.",Nếu xảy ra va chạm hoặc xe ô tô giảm tốc độ đột ngột thì thiết bị an toàn cho trẻ em có tác dụng gì?,Thiết bị an toàn cho trẻ em giảm nguy cơ chấn thương cho người dùng bằng cách hạn chế sự di chuyển của cơ thể trẻ em.,luat trật tự,condition
"24. Sử dụng quyền của xe ưu tiên khi không thực hiện nhiệm vụ theo quy định của pháp luật; lắp đặt, sử dụng thiết bị phát tín hiệu ưu tiên không đúng quy định của pháp luật.
25. Không khai báo, khai báo gian dối hoặc cung cấp thông tin, tài liệu không đúng sự thật để trốn tránh trách nhiệm khi bị phát hiện vi phạm pháp luật về trật tự, an toàn giao thông đường bộ.",Làm gì sẽ bị coi là vi phạm khi xe không thực hiện nhiệm vụ nhưng vẫn sử dụng quyền của xe ưu tiên?,Sử dụng quyền của xe ưu tiên khi không thực hiện nhiệm vụ theo quy định của pháp luật,luat trật tự,direct
"2. Địa chỉ (Address): …………………………………………………........
3. Số điện thoại (Telephone number): ………Số Fax (Fax number):………
4. Địa chỉ email (Email address): …………………………………………
5. Giấy phép (vận chuyển hàng siêu trưởng, siêu trọng hoặc hàng nguy hiểm) số … ngày….........
Permit number (for carrying oversized, overweight or dangerous goods)….........date...........(dd/mm/yyyy)",Thông tin cần cung cấp khi xin giấy phép vận chuyển hàng siêu trọng bao gồm những gì?,"Địa chỉ, số điện thoại, số fax, địa chỉ email, giấy phép số và ngày cấp",Nghị định 41.2024.NĐ-CP,direct
"2. Dịch vụ đại lý vận tải hàng hóa là việc tổ chức, cá nhân được đơn vị kinh doanh vận tải thuê thực hiện một hoặc nhiều công đoạn trong quá trình vận tải, trừ công đoạn trực tiếp điều hành phương tiện và người lái xe hoặc quyết định giá cước vận tải.
3. Đơn vị kinh doanh dịch vụ đại lý vận tải hàng hóa được hưởng tiền công dịch vụ đại lý vận tải theo thoả thuận với đơn vị kinh doanh vận tải.",Nếu đơn vị kinh doanh vận tải thuê một tổ chức thực hiện một hoặc nhiều công đoạn trong quá trình vận tải thì tổ chức đó được hưởng gì?,Tiền công dịch vụ đại lý vận tải theo thoả thuận,Luật-35-2024-QH15,condition
"Điều 3 như sau:
""2. Phương tiện gồm: Xe ô tô chở người; xe ô tô chở hàng; xe đầu kéo; rơ moóc, sơ mi rơ moóc được kéo bởi xe ô tô; các phương tiện chuyên dùng lưu thông trên đường bộ.”.
3. Sửa đổi, bổ sung khoản 2",Phương tiện giao thông đường bộ gồm những loại nào?,Xe ô tô chở người; xe ô tô chở hàng; xe đầu kéo; rơ moóc; sơ mi rơ moóc được kéo bởi xe ô tô; các phương tiện chuyên dùng lưu thông trên đường bộ.,Nghị định 41.2024.NĐ-CP,synthesis
"2. Trung tâm chỉ huy giao thông có nhiệm vụ thu thập, lưu trữ, phân tích, xử lý dữ liệu về tình hình trật tự, an toàn giao thông đường bộ phục vụ chỉ huy, điều khiển giao thông đường bộ, giải quyết tai nạn giao thông đường bộ, tuần tra, kiểm soát về trật tự, an toàn giao thông đường bộ, đấu tranh phòng, chống tội phạm và các vi phạm pháp luật khác trên đường bộ; cung cấp thông tin về tình trạng giao thông cho người tham gia giao thông đường bộ; phục vụ điều hành hoạt động giao thông đường bộ trật tự, an toàn, thông suốt.",Trung tâm chỉ huy giao thông có những nhiệm vụ gì?,"Trung tâm chỉ huy giao thông có nhiệm vụ thu thập, lưu trữ, phân tích, xử lý dữ liệu về tình hình trật tự, an toàn giao thông đường bộ và cung cấp thông tin về tình trạng giao thông cho người tham gia giao thông đường bộ.",luat trật tự,direct
"6. Đường gom phải được xây dựng ngoài hành lang an toàn đường bộ, trừ trường hợp đường gom đồng thời là đường bên. Trường hợp không thể bố trí được đường gom ngoài hành lang an toàn đường bộ thì có thể bố trí trong hành lang an toàn đường bộ, nhưng phải đáp ứng các điều kiện sau đây:
a) Chiều rộng hành lang an toàn đường bộ còn lại đủ để mở rộng đường theo quy hoạch;
b) Bảo đảm an toàn công trình đường bộ;
c) Bảo đảm an toàn giao thông đường bộ và tầm nhìn xe chạy.",Nếu đường gom không thể bố trí ngoài hành lang an toàn đường bộ thì có thể bố trí trong hành lang an toàn đường bộ không?,"Có, nhưng phải đáp ứng các điều kiện về chiều rộng hành lang, bảo đảm an toàn công trình và giao thông đường bộ.",Luật-35-2024-QH15,condition
"3. Hộ kinh doanh, hộ gia đình thực hiện hành vi vi phạm hành chính quy định tại Nghị định này bị xử phạt như đối với cá nhân vi phạm.
4. Người có thẩm quyền lập biên bản vi phạm hành chính, thẩm quyền xử phạt vi phạm hành chính và tổ chức, cá nhân có liên quan đến việc xử phạt vi phạm hành chính theo quy định tại Nghị định này.
5. Người có thẩm quyền trừ điểm, phục hồi điểm giấy phép lái xe.","Nếu hộ kinh doanh, hộ gia đình thực hiện hành vi vi phạm hành chính thì sẽ bị xử phạt như thế nào?",Bị xử phạt như đối với cá nhân vi phạm,NĐ 168/2024/NĐ-CP,condition
"1. Người đi bộ phải tuân thủ các quy định sau đây:
a) Phải đi trên vỉa hè, lề đường, đường dành riêng cho người đi bộ; trường hợp đường không có vỉa hè, lề đường, đường dành riêng cho người đi bộ thì người đi bộ phải đi sát mép đường bên phải theo chiều đi của mình;
b) Chỉ được qua đường ở những nơi có đèn tín hiệu, có vạch kẻ đường hoặc có cầu vượt, hầm dành cho người đi bộ và phải tuân thủ tín hiệu chỉ dẫn, báo hiệu đường bộ.","Nếu đường không có vỉa hè, lề đường, đường dành riêng cho người đi bộ thì người đi bộ phải đi ở đâu?",Người đi bộ phải đi sát mép đường bên phải theo chiều đi của mình,luat trật tự,condition
"23. Thay thế các Phụ lục tại Nghị định số 119/2021/NĐ-CP như sau: Mẫu số 04 Phụ lục I; Mẫu số 03, Mẫu số 04, Mẫu số 05, Mẫu số 06, Mẫu số 07, Mẫu số 08, Mẫu số 09, Mẫu số 10, Mẫu số 11 Phụ lục III; Mẫu số 03 Phụ lục IV; Mẫu phù hiệu Giấy phép liên vận giữa Việt Nam, Lào và Campuchia tại Mẫu số 04, Mẫu số 08, Mẫu số 10, Mẫu số 11, Mẫu số 12, Mẫu số 13 Phụ lục VI tương ứng bằng các Phụ lục VII, Phụ lục VIII, Phụ lục IX, Phụ lục X kèm theo Nghị định này.",Nếu Nghị định số 119/2021/NĐ-CP có thay đổi thì các Phụ lục sẽ được thay thế như thế nào?,"Các Phụ lục sẽ được thay thế bằng các Phụ lục VII, Phụ lục VIII, Phụ lục IX, Phụ lục X kèm theo Nghị định này.",Nghị định 41.2024.NĐ-CP,condition
"3. Lực lượng thực hiện tuần tra, kiểm soát bao gồm:
a) Lực lượng Cảnh sát giao thông;
b) Lực lượng, đơn vị khác trong Công an nhân dân được huy động tham gia phối hợp với Cảnh sát giao thông thực hiện tuần tra, kiểm soát trong trường hợp cần thiết trên cơ sở nhiệm vụ, quyền hạn của lực lượng được huy động theo quy định của pháp luật, quyết định của cấp có thẩm quyền và phù hợp với thực tế nhiệm vụ.","Những lực lượng nào thực hiện tuần tra, kiểm soát giao thông?","Lực lượng Cảnh sát giao thông; Lực lượng, đơn vị khác trong Công an nhân dân được huy động tham gia phối hợp với Cảnh sát giao thông",luat trật tự,synthesis
"4. Phạt tiền từ 800.000 đồng đến 1.000.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây:
a) Điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h;
b) Dừng xe, đỗ xe trong hầm đường bộ không đúng nơi quy định;
c) Vượt xe trong những trường hợp không được vượt, vượt xe tại đoạn đường có biển báo hiệu có nội dung cấm vượt đối với loại phương tiện đang điều khiển, trừ các hành vi vi phạm quy định tại điểm đ khoản 3 Điều này;
d) Quay đầu xe trong hầm đường bộ;
đ) Người đang điều khiển xe sử dụng ô (dù), thiết bị âm thanh (trừ thiết bị trợ thính), dùng tay cầm và sử dụng điện thoại hoặc các thiết bị điện tử khác.",Những hành vi vi phạm giao thông nào sẽ bị phạt tiền từ 800.000 đồng đến 1.000.000 đồng?,"Điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h; Dừng xe, đỗ xe trong hầm đường bộ không đúng nơi quy định; Vượt xe trong những trường hợp không được vượt, vượt xe tại đoạn đường có biển báo hiệu cấm vượt; Quay đầu xe trong hầm đường bộ; Sử dụng ô, thiết bị âm thanh, dùng tay cầm và sử dụng điện thoại hoặc các thiết bị điện tử khác trong khi điều khiển xe",NĐ 168/2024/NĐ-CP,synthesis
"3. Nguồn thu từ dịch vụ sử dụng đường bộ của các dự án đầu tư, xây dựng đường bộ để kinh doanh; hợp đồng nhượng quyền kinh doanh - quản lý, khai thác đường bộ cao tốc là tài sản công được thực hiện theo quy định của pháp luật về giá và quy định khác của pháp luật có liên quan.",Nếu dự án đầu tư xây dựng đường bộ để kinh doanh thì nguồn thu từ dịch vụ sử dụng đường bộ được thực hiện theo quy định nào?,theo quy định của pháp luật về giá và quy định khác của pháp luật có liên quan,Luật-35-2024-QH15,condition
"1. Biển quảng cáo gồm bảng quảng cáo, băng rôn, biển hiệu, hộp đèn, màn hình chuyên quảng cáo theo quy định của pháp luật về quảng cáo. Biển quảng cáo được xây dựng, lắp đặt tại các vị trí sau đây:
a) Trong phạm vi hành lang an toàn đường bộ, trừ hành lang an toàn đường cao tốc và hành lang an toàn đường bộ tại nút giao;
b) Trường hợp nút giao có đường kính lớn hơn 02 lần chiều rộng hành lang an toàn đường bộ, thì được xây dựng, lắp đặt biển quảng cáo trong phạm vi đất giữa nút giao nhưng phải bảo đảm khoảng cách từ biển quảng cáo đến mép ngoài mặt đường theo các hướng không nhỏ hơn chiều rộng hành lang an toàn đường bộ.","Nếu nút giao có đường kính lớn hơn 02 lần chiều rộng hành lang an toàn đường bộ thì được xây dựng, lắp đặt biển quảng cáo không?","Được, nhưng phải bảo đảm khoảng cách từ biển quảng cáo đến mép ngoài mặt đường theo các hướng không nhỏ hơn chiều rộng hành lang an toàn đường bộ",Luật-35-2024-QH15,condition
"2. Người tham gia giao thông đường bộ phải chấp hành báo hiệu đường bộ theo thứ tự ưu tiên từ trên xuống dưới như sau:
a) Hiệu lệnh của người điều khiển giao thông;
b) Tín hiệu đèn giao thông;
c) Biển báo hiệu đường bộ;
d) Vạch kẻ đường và các dấu hiệu khác trên mặt đường;
đ) Cọc tiêu, tường bảo vệ, rào chắn, đinh phản quang, tiêu phản quang,
cột Km, cọc H;
e) Thiết bị âm thanh báo hiệu đường bộ.",Tôi cần tuân theo những loại báo hiệu đường bộ nào khi tham gia giao thông đường bộ?,"Theo thứ tự ưu tiên từ trên xuống dưới: hiệu lệnh của người điều khiển giao thông, tín hiệu đèn giao thông, biển báo hiệu đường bộ, vạch kẻ đường và các dấu hiệu khác trên mặt đường, cọc tiêu, tường bảo vệ, rào chắn, đinh phản quang, tiêu phản quang, cột Km, cọc H, thiết bị âm thanh báo hiệu đường bộ.",luat trật tự,direct
"Điều 34 của Nghị định này, trong trường hợp chủ phương tiện, người điều khiển phương tiện vừa thực hiện hành vi vi phạm quy định về tổng trọng lượng (khối lượng toàn bộ) của xe, vừa thực hiện hành vi vi phạm quy định về tải trọng trục xe thì bị xử phạt theo quy định của hành vi vi phạm có mức phạt tiền cao hơn.","Nếu tôi vừa vi phạm về tổng trọng lượng của xe, vừa vi phạm về tải trọng trục xe thì tôi sẽ bị xử phạt như thế nào?",Bị xử phạt theo quy định của hành vi vi phạm có mức phạt tiền cao hơn,NĐ 168/2024/NĐ-CP,direct
"Điều 16 Thông tư này;
b) Người có giấy phép lái xe được quy định tại điểm a khoản này có nhu cầu ôn tập thì đăng ký với các cơ sở đào tạo lái xe hoặc trung tâm sát hạch lái xe để được hướng dẫn ôn tập;
c) Trường hợp người có giấy phép lái xe được quy định tại điểm a khoản này sát hạch không đạt kết quả để được cấp giấy phép lái xe nếu có nhu cầu thì đăng ký với Phòng Cảnh sát giao thông để tham gia sát hạch lại.",Nếu người có giấy phép lái xe được quy định tại điểm a khoản này không đạt kết quả sát hạch thì có được tham gia sát hạch lại không?,"Có, người đó có thể đăng ký với Phòng Cảnh sát giao thông để tham gia sát hạch lại.",TT 12/2024/TT-BGTVT,condition
"10. Người điều khiển giao thông đường bộ (sau đây gọi là người điều khiển giao thông) bao gồm: Cảnh sát giao thông và người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ.
11. Ùn tắc giao thông đường bộ (sau đây gọi là ùn tắc giao thông) là tình trạng người, phương tiện tham gia giao thông đường bộ bị dồn ứ, di chuyển với tốc độ rất chậm hoặc không thể di chuyển được.",Những đối tượng nào được gọi là người điều khiển giao thông và tình trạng nào được coi là ùn tắc giao thông?,"Người điều khiển giao thông đường bộ bao gồm Cảnh sát giao thông và người được giao nhiệm vụ hướng dẫn giao thông trên đường bộ; ùn tắc giao thông là tình trạng người, phương tiện tham gia giao thông đường bộ bị dồn ứ, di chuyển với tốc độ rất chậm hoặc không thể di chuyển được.",luat trật tự,synthesis
"Điều 31 như sau:
""8. Khi Giấy phép liên vận giữa Việt Nam và Campuchia hết thời hạn sử dụng hoặc còn thời hạn sử dụng nhưng hết trang đóng dấu xác nhận của các cơ quan quản lý tại cửa khẩu thì tổ chức, cá nhân, đơn vị vận tải lập hồ sơ đề nghị cấp lại giấy phép theo quy định tại khoản 2, khoản 3 và khoản 7 Điều này; Giấy phép liên vận giữa Việt Nam và Campuchia bị hư hỏng, bị mất thì tổ chức, cá nhân, đơn vị vận tải lập hồ sơ đề nghị cấp lại giấy phép theo quy định tại điểm a khoản 2, điểm a khoản 3 và khoản 7 Điều này."".","Nếu Giấy phép liên vận giữa Việt Nam và Campuchia bị mất thì tổ chức, cá nhân, đơn vị vận tải phải làm gì?","Lập hồ sơ đề nghị cấp lại giấy phép theo quy định tại điểm a khoản 2, điểm a khoản 3 và khoản 7 Điều này.",Nghị định 41.2024.NĐ-CP,condition
"Điều 3. Hình thức xử phạt vi phạm hành chính, biện pháp khắc phục hậu quả; thu hồi giấy phép, chứng chỉ hành nghề
1. Đối với mỗi hành vi vi phạm hành chính về trật tự, an toàn giao thông trong lĩnh vực giao thông đường bộ, cá nhân, tổ chức vi phạm phải chịu một trong các hình thức xử phạt chính sau đây:
a) Cảnh cáo;
b) Phạt tiền;
c) Tịch thu phương tiện được sử dụng để vi phạm hành chính.","Khi vi phạm trật tự an toàn giao thông đường bộ, hình thức xử phạt chính mà cá nhân hoặc tổ chức có thể phải chịu là gì?","Cảnh cáo, phạt tiền hoặc tịch thu phương tiện được sử dụng để vi phạm hành chính.",NĐ 168/2024/NĐ-CP,direct
